cluster,size,examples
14,303,"['What is the name of the top performing model in terms of Number of params score when benchmarked on the One Billion Word dataset?', 'Which model has achieved the highest Matched score on the MultiNLI benchmark dataset?', 'What is the best performing model benchmarking the Natural Questions dataset in terms of F1 (Long) metric?', 'Indicate the model that performed best in terms of ROUGE-L metric on the GigaWord benchmark dataset?', 'What is the name of the top performing model in terms of Accuracy score when benchmarked on the Recipe dataset?']"
17,229,"['What are the titles and IDs of research papers that include a benchmark for the DDI extraction 2013 corpus dataset?', 'Give me a list of research papers along with their titles and IDs, that have performed benchmarks on the Dataset mentions in Social Sciences dataset?', 'Give me a list of research papers along with their titles and IDs, that have performed benchmarks on the Food-101 dataset?', 'What are the titles and IDs of research papers that include a benchmark for the ARC (Challenge) dataset?', 'List the title and ID of research papers that contain a benchmark over the Annotated development corpus dataset?']"
3,221,"['What is the top benchmark score and its metric on the ChemProt dataset?', 'Can you provide the highest benchmark result, including the metric and score, for the ImageNet dataset?', 'What is the top benchmark result (metric and value) over the dataset Dataset mentions in Social Sciences?', 'What is the highest benchmark result achieved on the STL-10 dataset, including the metric and its value?', 'What is the highest benchmark result achieved on the VTAB-1k dataset, including the metric and its value?']"
15,163,"['List the code links in papers that use the A2C+CoEX model in any benchmark?', 'Can you provide links to code used in papers that benchmark the VGG8B + LocalLearning + CO model?', 'Can you provide links to code used in papers that benchmark the ViT-B/16 model?', 'Can you provide links to code used in papers that benchmark the LibLinear model?', 'List the code links in papers that use the EneRex model in any benchmark?']"
6,161,"['What is the name of the top performing model in terms of Score score when benchmarked on the Atari 2600 Defender dataset?', 'What is the top benchmark score and its metric on the Atari 2600 Kangaroo dataset?', 'What are the metrics of evaluation over the Atari 2600 Road Runner dataset?', 'Can you provide the highest benchmark result, including the metric and score, for the Atari 2600 Gravitar dataset?', 'What is the top benchmark score and its metric on the Atari 2600 Pong dataset?']"
19,154,"['Could you provide a list of models that have been tested on the MPQA benchmark dataset?', 'What are the most commonly used benchmark datasets for the Image Generation research field?', 'What are the most commonly used benchmark datasets for the Multi-Task Learning research field?', 'Provide a list of benchmarked datasets related to the Information Extraction research area?', 'List the datasets benchmarked under the relation extraction research problem?']"
7,129,"['Provide a list of papers that have utilized the Ours: cross-sentence ALB model and include the links to their code?', 'Provide a list of papers that have utilized the Linear SVM model and include the links to their code?', 'Provide a list of papers that have utilized the EffNet-L2 (SAM) model and include the links to their code?', 'Provide a list of papers that have utilized the AVID+CMA (Modified R2+1D-18 on Kinetics) model and include the links to their code?', 'Provide a list of papers that have utilized the Rfa-Gate-Gaussian-Stateful (Small) model and include the links to their code?']"
10,129,"['Can you list the models that have been evaluated on the SentEval dataset?', 'Can you list the models that have been evaluated on the COPA dataset?', 'Can you list the models that have been evaluated on the AI-KG dataset?', 'What models are being evaluated on the ModelNet40 dataset?', 'Can you list the models that have been evaluated on the BIOSSES dataset?']"
12,113,"['What evaluation metrics are commonly used when benchmarking models on the CommonsenseQA dataset?', 'What evaluation metrics are commonly used when benchmarking models on the TACRED dataset?', 'What are the metrics of evaluation over the Multimodal PISA dataset?', 'What evaluation metrics are commonly used when benchmarking models on the ACE 2004 dataset?', 'What are the metrics of evaluation over the Car speed in Liuliqiao District, Beijing dataset?']"
1,103,"['Can you list the models that have been evaluated on the Atari 2600 Asterix dataset?', 'List the title and ID of research papers that contain a benchmark over the Atari 2600 Battle Zone dataset?', 'What models are being evaluated on the Atari 2600 Tennis dataset?', 'What are the models that have been benchmarked on the Atari 2600 Asteroids dataset?', 'What models are being evaluated on the Atari 2600 Private Eye dataset?']"
5,89,"['Can you provide links to code used in papers that benchmark the Orthogonalized Soft VSM model?', 'Where can I find code references in papers that have used the Memory Compressed model for benchmarking purposes?', 'Where can I find code references in papers that have used the DARQN soft model for benchmarking purposes?', 'Where can I find code references in papers that have used the DQN Best model for benchmarking purposes?', 'Where can I find code references in papers that have used the Luna model for benchmarking purposes?']"
0,83,"['Which countries are considered in the papers about geopolitics?', 'What was the most common type of approach for summarization before 2002?', 'Which vegetables are utilized for betanin extraction?', 'What are the research problems Vernier Effect is related to?', 'What models are being evaluated on the Scholarly entity usage detection dataset?']"
13,77,"['List the metrics that are used to evaluate models on the IWSLT2015 German-English benchmark dataset?', 'What are the metrics of evaluation over the WMT2016 Russian-English dataset?', 'Give me a list of research papers along with their titles and IDs, that have performed benchmarks on the WMT2014 English-French dataset?', 'What models are being evaluated on the WMT2014 English-French dataset?', 'Can you list the metrics used to evaluate models on the WMT2016 Romanian-English dataset?']"
16,69,"['List the metrics that are used to evaluate models on the Habitat 2020 Point Nav test-std benchmark dataset?', 'List the metrics that are used to evaluate models on the Ohsumed benchmark dataset?', 'List the metrics that are used to evaluate models on the SNLI benchmark dataset?', 'List the metrics that are used to evaluate models on the Penn Treebank (Word Level) benchmark dataset?', 'List the metrics that are used to evaluate models on the COPA benchmark dataset?']"
11,68,"['List the code links in papers that use the FusionNet (single model) model in any benchmark?', 'Can you provide links to code used in papers that benchmark the SciBERT + CNN model?', 'Can you provide links to code used in papers that benchmark the Recurrent Rational DQN Average model?', 'Where can I find code references in papers that have used the EfficientNetV2-S (21k) model for benchmarking purposes?', 'List the code links in papers that use the ZFNet (ensemble, 6 convnets) model in any benchmark?']"
4,58,"['Can you provide the highest benchmark result, including the metric and score, for the MLDoc Zero-Shot English-to-Chinese dataset?', 'What models are being evaluated on the MLDoc Zero-Shot English-to-French dataset?', 'What are the models that have been benchmarked on the Reuters RCV1/RCV2 German-to-English dataset?', 'What are the models that have been benchmarked on the MLDoc Zero-Shot English-to-Russian dataset?', 'What are the titles and IDs of research papers that include a benchmark for the MLDoc Zero-Shot English-to-Italian dataset?']"
9,52,"['Where can I find code references in papers that have used the Image Transformer model for benchmarking purposes?', 'Can you provide links to code used in papers that benchmark the 12-layer Character Transformer Model model?', 'List the code links in papers that use the Transformer-XL + RMS dynamic eval model in any benchmark?', 'List the code links in papers that use the Transformer-XL Large model in any benchmark?', 'Can you provide links to code used in papers that benchmark the Transformer model?']"
18,49,"['Can you list the metrics used to evaluate models on the BC2GM dataset?', 'Can you list the metrics used to evaluate models on the ScienceCite dataset?', 'Can you list the metrics used to evaluate models on the SciREX dataset?', 'Can you list the metrics used to evaluate models on the 20NEWS dataset?', 'Can you list the metrics used to evaluate models on the SciERC dataset?']"
2,41,"['What is the top benchmark score and its metric on the Walker, walk (DMControl100k) dataset?', 'What models are being evaluated on the Ball in cup, catch (DMControl100k) dataset?', 'What evaluation metrics are commonly used when benchmarking models on the Reacher, easy (DMControl100k) dataset?', 'Provide a list of research paper titles and IDs that have benchmarked models on the Finger, spin (DMControl100k) dataset?', 'Provide a list of research paper titles and IDs that have benchmarked models on the Cornell Grasp Dataset dataset?']"
8,12,"['What is the top benchmark result (metric and value) over the dataset Lunar Lander (OpenAI Gym)?', 'Can you list the metrics used to evaluate models on the Cart Pole (OpenAI Gym) dataset?', 'Can you list the models that have been evaluated on the Lunar Lander (OpenAI Gym) dataset?', 'What are the titles and IDs of research papers that include a benchmark for the Lunar Lander (OpenAI Gym) dataset?', 'What models are being evaluated on the Cartpole, swingup (DMControl500k) dataset?']"
